PlantletID,Openfield_Transfer_Date,Number,Location
SE201906_(162496C1/132361)_4,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_59,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_95,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_50,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_3,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_50,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_1,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_21,2020-09-04,1.0,Sendusu
SE201904_(162430C1/132419)_2,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_127,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_66,2020-09-04,1.0,Sendusu
SE201906_(162496C1/132361)_1,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_16,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_70,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_15,2020-09-04,1.0,Sendusu
SE201902_(162449C1/132494)_1,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_36,2020-09-04,1.0,Sendusu
SE201904_(162485C1/132614)_1,2020-09-04,1.0,Sendusu
SE201907_(162416C2/132332)_9,2020-09-04,1.0,Sendusu
SE201907_(162452C1/132533)_3,2020-09-04,1.0,Sendusu
SE201904_(162485C1/132614)_9,2020-09-04,1.0,Sendusu
SE201904_(162430C1/132419)_14,2020-09-04,1.0,Sendusu
SE201907_(162379C1/132466)_12,2020-09-04,1.0,Sendusu
SE201907_(162416C2/132332)_2,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_14,2020-09-04,1.0,Sendusu
SE201906_(162496C1/132361)_3,2020-09-04,1.0,Sendusu
SE201904_(162459C1/132361)_51,2020-09-04,1.0,Sendusu
SE201902_(162421C1/132608)_7,2020-09-04,2.0,Sendusu
SE201904_(162459C1/132361)_66,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_42,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_78,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_18,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_35,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_97,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_14,2020-09-04,1.0,Sendusu
SE201903_(163382C1/132701)_1,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_60,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_46,2020-09-04,1.0,Sendusu
SE201905_(162431C1/132332)_7,2020-09-04,1.0,Sendusu
SE201903_(162357C1/132383)_40,2020-09-14,1.0,Sendusu
SE201905_(162431C1/132332)_160,2020-09-14,1.0,Sendusu
SE201905_(162431C1/132332)_111,2020-09-14,1.0,Sendusu
SE201905_(162431C1/132332)_62,2020-09-14,1.0,Sendusu
SE201904_(162459C1/132361)_19,2020-09-14,1.0,Sendusu
SE201905_(162488C1/132412)_3,2020-09-14,1.0,Sendusu
SE201906_(162388C1/132533)_4,2020-09-14,2.0,Sendusu
SE201902_(162421C1/132608)_6,2020-09-14,2.0,Sendusu
SE201905_(162431C1/132332)_161,2020-09-14,1.0,Sendusu
SE201905_(162431C1/132332)_72,2020-10-02,1.0,Sendusu
SE201905_(162431C1/132332)_6,2020-10-02,1.0,Sendusu
SE201902_(162421C1/132608)_6,2020-10-02,2.0,Sendusu
SE201902_(162421C1/132608)_6,2020-10-07,2.0,Sendusu
SE201907_(162416C2/132332)_7,2020-10-15,1.0,Sendusu
SE201901_(162786C1/132635)_1,2020-09-21,2.0,Sendusu
SE201812_(162435C1/132708)_2,2020-09-21,2.0,Sendusu
SE201903_(162357C1/132383)_4,2020-09-21,2.0,Sendusu
SE201903_(162405C1/132571)_2,2020-09-21,2.0,Sendusu
SE201902_(162449C1/132494)_3,2020-09-21,1.0,Sendusu
SE201905_(162431C1/132332)_34,2020-11-12,1.0,Sendusu
SE201907_(162416C2/132332)_25,2020-11-12,2.0,Sendusu
SE201908_(162635C1/132647)_4,2020-11-12,2.0,Sendusu
SE201903_(162357C1/132383)_46,2020-11-12,1.0,Sendusu
SE201903_(162357C1/132383)_24,2020-11-12,1.0,Sendusu
SE201903_(162357C1/132383)_50,2020-11-12,2.0,Sendusu
SE201909_(162414C2/132406)_5,2020-11-12,3.0,Sendusu
SE201909_(162534C1/132493)_1,2020-11-12,1.0,Sendusu
SE201905_(162431C1/132332)_148,2020-11-12,2.0,Sendusu
SE201905_(162431C1/132332)_121,2020-11-12,2.0,Sendusu
SE201907_(162379C1/132466)_10,2020-11-12,2.0,Sendusu
