PlantletID,Weaning_2_Date,Number,Location
SE201906_(162496C1/132361)_1,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_16,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_34,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_1,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_40,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_111,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_138,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_127,2020-05-22,1.0,Sendusu
SE201904_(162430C1/132419)_2,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_36,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_15,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_70,2020-05-22,1.0,Sendusu
SE201906_(162496C1/132361)_5,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_49,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_105,2020-05-22,1.0,Sendusu
SE201903_(163382C1/132701)_2,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_29,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_62,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_38,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_30,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_65,2020-05-22,1.0,Sendusu
SE201904_(162430C1/132419)_11,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_60,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_9,2020-05-22,1.0,Sendusu
SE201902_(162421C1/132608)_1,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_39,2020-05-22,1.0,Sendusu
SE201904_(162377C1/132361)_8,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_48,2020-05-22,1.0,Sendusu
SE201904_(162459C1/132361)_1,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_1,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_14,2020-05-22,1.0,Sendusu
SE201903_(162357C1/132383)_13,2020-05-22,1.0,Sendusu
SE201905_(162431C1/132332)_54,2020-05-28,2.0,Sendusu
SE201904_(162377C1/132361)_5,2020-05-28,3.0,Sendusu
SE201906_(162496C1/132361)_2,2020-05-28,1.0,Sendusu
SE201906_(162496C1/132361)_6,2020-05-28,1.0,Sendusu
SE201902_(162449C1/132494)_1,2020-05-28,1.0,Sendusu
SE201907_(162416C2/132332)_9,2020-05-28,1.0,Sendusu
SE201904_(162485C1/132614)_9,2020-05-28,1.0,Sendusu
SE201907_(162379C1/132466)_12,2020-05-28,1.0,Sendusu
SE201904_(162485C1/132614)_1,2020-05-28,1.0,Sendusu
SE201907_(162452C1/132533)_3,2020-05-28,1.0,Sendusu
SE201907_(162379C1/132466)_9,2020-05-28,1.0,Sendusu
SE201905_(162431C1/132332)_152,2020-05-28,1.0,Sendusu
SE201907_(162416C2/132332)_2,2020-05-28,1.0,Sendusu
SE201902_(162450C1/132447)_6,2020-05-28,1.0,Sendusu
SE201904_(162459C1/132361)_44,2020-05-28,1.0,Sendusu
SE201902_(162449C1/132494)_5,2020-06-02,1.0,Sendusu
SE201905_(162431C1/132332)_62,2020-06-02,3.0,Sendusu
SE201902_(162421C1/132608)_7,2020-04-23,2.0,Sendusu
SE201904_(162430C1/132419)_14,2020-04-23,2.0,Sendusu
SE201904_(162459C1/132361)_60,2020-06-22,1.0,Sendusu
