PlantletID,Copies,Subculture_Date,Location
SE201905_(162431C1/132332)_122,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_3,1,2020-01-16,Sendusu
SE201906_(162388C1/132533)_1,1,2020-01-16,Sendusu
SE201907_(162865C1/132329)_3,1,2020-01-16,Sendusu
SE201906_(162496C1/132361)_1,1,2020-01-16,Sendusu
SE201906_(162496C1/132361)_3,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_110,1,2020-01-16,Sendusu
SE201902_(162450C1/132447)_17,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_112,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_50,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_124,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_15,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_72,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_19,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_40,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_102,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_101,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_1,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_105,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_138,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_131,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_67,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_169,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_127,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_17,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_119,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_13,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_74,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_85,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_55,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_69,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_39,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_8,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_89,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_79,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_56,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_78,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_9,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_97,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_77,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_88,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_8,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_83,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_21,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_12,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_11,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_36,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_46,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_25,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_58,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_13,1,2020-01-16,Sendusu
