FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,Crossnumber_4,Crossnumber_5,number_crosses
16NM_Huti-white_plot42r2c1,NM201904_(152559C1/161554),NM202007_(152559C2/161554),,,,2
16NM_Huti-white_plot439r21c19,NM202009_(152984C1/161480),,,,,1
16NM_Huti-white_plot43r3c1,NM201902_(152459C1/161582),,,,,1
16NM_Huti-white_plot440r21c20,NM201904_(152899C1/161554),NM202012_(152899C2/161475),,,,2
16NM_Huti-white_plot441r21c21,NM201909_(152607C1/161554),NM202009_(152607C2/161522),NM202101_(152607C2/161564),,,3
16NM_Huti-white_plot442r22c21,NM201909_(152819C1/161584),NM202008_(152819C2/161431),,,,2
16NM_Huti-white_plot443r22c20,NM201906_(152366C1/161477),,,,,1
16NM_Huti-white_plot444r22c19,NM201905_(152508C1/161503),NM202012_(152508C/161483),NM202012_(152508C/161582),,,3
16NM_Huti-white_plot44r3c2,NM201905_(153004C1/161503),NM201911_(153004C2/161480),,,,2
16NM_Huti-white_plot45r3c3,NM202102_(152520C1/161578),,,,,1
16NM_Huti-white_plot461r22c2,NM201909_(152766C1/161541),,,,,1
16NM_Huti-white_plot462r22c1,NM201903_(152695C1/161582),NM201911_(152695C2/161480),NM202009_(152695C2/161554),,,3
16NM_Huti-white_plot463r23c1,NM201907_(152381C1/161503),NM202009_(152381C2/161406),,,,2
16NM_Huti-white_plot465r23c3,NM201905_(152848C1/161503),NM202007_(152848C2/161446),NM202007_(152848C2/161584),,,3
16NM_Huti-white_plot483r23c21,NM201906_(152667C1/161554),,,,,1
16NM_Huti-white_plot484r24c21,NM201907_(152955C1/161554),,,,,1
16NM_Huti-white_plot502r24c3,NM202012_(152859C1/161483),,,,,1
16NM_Huti-white_plot503r24c2,NM202103_(152937C/161508),,,,,1
16NM_Huti-white_plot504r24c1,NM201901_(153023C1/161503),NM201911_(153023C2/161480),NM202011_(153023C2/161562),,,3
16NM_Huti-white_plot505r25c1,NM201903_(153107C1/161468),NM202002_(153107C2/161584),NM202011_(153107C2/161467),,,3
16NM_Huti-white_plot506r25c2,NM201905_(152533C1/161477),NM202003_(152533C2/161480),,,,2
16NM_Huti-white_plot523r25c19,NM201904_(152467C1/136604),,,,,1
16NM_Huti-white_plot524r25c20,NM202003_(152884C1/161536),,,,,1
16NM_Huti-white_plot525r25c21,NM201906_(152586C1/161503),NM202003_(152586C2/161571),,,,2
16NM_Huti-white_plot526r26c21,NM201904_(152681C1/161554),NM202003_(152681C2/161462),,,,2
16NM_Huti-white_plot527r26c20,NM201903_(152408C1/161582),,,,,1
16NM_Huti-white_plot528r26c19,NM201906_(153177C1/161477),NM202010_(153177C2/161522),,,,2
16NM_Huti-white_plot545r26c2,NM201904_(152644C1/161582),NM202006_(152644C2/161536),NM202006_(152644C2/161576),,,3
16NM_Huti-white_plot546r26c1,NM201902_(152995C1/161503),NM201911_(152995C2/161480),NM202011_(152995C2/161413),,,3
16NM_Huti-white_plot547r27c1,NM201901_(153119C1/161506),NM202001_(153119C2/161468),,,,2
16NM_Huti-white_plot548r27c2,NM201904_(152421C1/161582),,,,,1
16NM_Huti-white_plot565r27c19,NM201908_(152786C1/161503),,,,,1
16NM_Huti-white_plot566r27c20,NM201904_(152680C1/161554),NM202003_(152680C2/161536),NM202012_(152680C2/161542),,,3
16NM_Huti-white_plot567r27c21,NM201905_(152531C1/161477),NM202003_(152531C2/161419),,,,2
16NM_Huti-white_plot568r28c21,NM201904_(152573C1/136604),,,,,1
16NM_Huti-white_plot569r28c20,NM201904_(152454C1/136604),,,,,1
16NM_Huti-white_plot570r28c19,NM202103_(153143C1/161406),,,,,1
16NM_Huti-white_plot587r28c2,NM201905_(153006C1/161554),,,,,1
16NM_Huti-white_plot588r28c1,NM201904_(152648C1/161582),NM202009_(152648C2/161406),,,,2
16NM_Huti-white_plot589r29c1,NM201901_(152744C1/161506),NM202001_(152744C2/161480),NM202103_(152744C2/161590),,,3
16NM_Huti-white_plot590r29c2,NM201904_(152639C1/161503),,,,,1
16NM_Huti-white_plot591r29c3,NM201905_(152776C1/161446),,,,,1
16NM_Huti-white_plot607r29c19,NM201906_(152555C1/161584),NM202102_(152555C2/161478),,,,2
16NM_Huti-white_plot608r29c20,NM201903_(152986C1/161582),,,,,1
16NM_Huti-white_plot609r29c21,NM201912_(153005C1/161447),,,,,1
16NM_Huti-white_plot610r30c21,NM201906_(152712C1/161503),NM202007_(152712C2/161433),NM202101_(152712C2/161413),,,3
16NM_Huti-white_plot611r30c20,NM201903_(152802C1/161424),NM202001_(152802C2/161480),NM202011_(152802C2/161578),,,3
16NM_Huti-white_plot612r30c19,NM201905_(152910C1/161503),NM202012_(152910C/161480),,,,2
16NM_Huti-white_plot61r3c19,NM201903_(152486C1/161424),,,,,1
16NM_Huti-white_plot628r30c3,NM202101_(152966C1/161602),,,,,1
16NM_Huti-white_plot629r30c2,NM201905_(152665C1/161446),,,,,1
16NM_Huti-white_plot62r3c20,NM201902_(152416C1/161582),NM201910_(152416C2/161503),NM201910_(152416C2/161554),,,3
16NM_Huti-white_plot630r30c1,NM201902_(152976C1/161582),NM202003_(152976C2/161419),NM202102_(152976C/161598),,,3
16NM_Huti-white_plot631r31c1,NM201903_(153118C1/161582),NM202003_(153118C2/161541),,,,2
16NM_Huti-white_plot632r31c2,NM201905_(152705C1/161503),,,,,1
16NM_Huti-white_plot633r31c3,NM201905_(152599C1/161446),,,,,1
16NM_Huti-white_plot63r3c21,NM201912_(153091C1/161421),,,,,1
16NM_Huti-white_plot649r31c19,NM201906_(152821C1/161446),NM202007_(152821C2/136283),,,,2
16NM_Huti-white_plot64r4c21,NM201902_(152513C1/161582),NM201910_(152513C2/161554),NM202006_(152513C2/161468),,,3
16NM_Huti-white_plot650r31c20,NM201903_(152636C1/161582),NM202003_(152636C2/161462),,,,2
16NM_Huti-white_plot651r31c21,NM201904_(152662C1/136604),NM202104_(152662C2/161494),,,,2
16NM_Huti-white_plot652r32c21,NM201903_(152574C1/161582),NM202012_(152574C/161582),,,,2
16NM_Huti-white_plot653r32c20,NM201903_(152450C1/161564),NM202003_(152450C2/161462),,,,2
16NM_Huti-white_plot65r4c20,NM201903_(153030C1/136510),NM202001_(153030C2/161571),,,,2
16NM_Huti-white_plot66r4c19,NM201903_(153129C1/161582),,,,,1
16NM_Huti-white_plot670r32c3,NM201909_(153108C1/161554),NM202102_(153108C2/161477),,,,2
