Location,Crossnumber,TrialName,FemalePlotName,FemaleGenotype,Cycle,MaleGenotype,MalePlotName,First Pollination Date,Number of Repeats,Bunch Harvest Date,Seed Extraction Date,Total Seeds,Good Seeds,Embryo Rescue Date,Number of Embryo Rescued,Number of Embryo Germinating,Germination Date,FemalePloidy,FemaleLink,MalePloidy,MaleLink
Sendusu,SE201907_(162547C1/132358),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R28C13,ITC1355-Kazirakwe,1,9128-3,17-9128-3_R5C7_plot67,2019-07-13,2,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(162561C1/132568),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R28C3,ITC1355-Kazirakwe,1,SH3217,17-SH3217_R13C6_plot186,2019-07-06,2,2019-10-17,2019-11-07,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(162583C1/132643),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R9C14,IITA-Nakyetengu,1,9128-3,17-9128-3_R4C5_plot50,2019-07-02,2,2019-10-17,2019-10-31,8,4,2019-11-06,4,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(162611C2/132358),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R5C3,Entukura,2,9128-3,17-9128-3_R5C7_plot67,2019-07-30,4,2019-11-06,2019-11-15,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>,NA,NA
Sendusu,SE201907_(162629C1/132578),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R33C16,Nakasabira,1,9128-3,17-9128-3_R5C9_plot69,2019-07-20,3,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201907_(162666C2/132624),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R27C3,ITC1354-Enzirabahima,2,TMB2X5265-1,17-5265-1_R8C3_plot108,2019-07-03,2,2019-10-21,2019-10-31,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(162675C2/132568),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R28C14,ITC1355-Kazirakwe,2,SH3217,17-SH3217_R13C6_plot186,2019-07-12,3,2019-10-21,2019-10-31,3,2,2019-11-06,2,2,2020-01-10,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(162677C2/132335),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R31C2,Nakasabira,2,TMB2X5265-1,17-5265-1_R7C3_plot93,2019-07-20,3,2019-11-15,2019-11-21,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201907_(162682C2/132462),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R25C16,ITC1354-Enzirabahima,2,SH3217,17-SH3217_R13C8_plot188,2019-07-17,5,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(162684C1/132706),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R8C11,IITA-Nakyetengu,1,8075-7,17-8075-7_R1C4_plot4,2019-07-17,3,2019-11-06,2019-11-15,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(162685C2/132378),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R31C3,Nakasabira,2,7197-2,17-7197-2_R10C10_plot145,2019-07-19,2,2019-11-06,2019-11-15,4,2,2019-11-19,2,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201907_(162687C1/132680),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R27C2,ITC1354-Enzirabahima,1,SH3362,17-SH3362_R19C8_plot278,2019-07-01,3,2019-09-26,2019-10-10,5,3,2019-10-14,3,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(162729C2/132332),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R30C6,ITC1355-Kazirakwe,2,8075-7,17-8075-7_R1C11_plot11,2019-07-02,3,2019-09-26,2019-10-10,1,1,2019-10-14,1,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(162736C2/132533),3X pollination block New Phase 1-Sendusu,Tereza_14_Phase1_R17C10,Tereza,2,8075-7,17-8075-7_R2C5_plot20,2019-07-06,2,2019-10-04,2019-10-24,0,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(162743C1/132541),3X pollination block New Phase 1-Sendusu,Kabucuragye_14_Phase1_R19C15,Kabucuragye,1,9128-3,17-9128-3_R6C3_plot78,2019-07-06,3,2019-10-31,2019-11-07,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201907_(162745C2/132396),3X pollination block New Phase 1-Sendusu,Nfuuka_14_Phase1_R15C7,Nfuuka,2,TMB2X5265-1,17-5265-1_R7C6_plot96,2019-07-26,3,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65450/view>view</a>,NA,NA
Sendusu,SE201907_(162758C2/132490),3X pollination block New Phase 1-Sendusu,Tereza_14_Phase1_R17C17,Tereza,2,7197-2,17-7197-2_R10C8_plot143,2019-07-20,6,2019-10-31,2019-11-15,1,1,2019-11-19,1,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(162792C2/132329),3X pollination block New Phase 1-Sendusu,Tereza_14_Phase1_R16C10,Tereza,2,7197-2,17-7197-2_R12C10_plot175,2019-07-06,1,2019-10-06,2019-10-24,0,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(162803C2/132533),3X pollination block New Phase 1-Sendusu,Tereza_14_Phase1_R18C14,Tereza,2,8075-7,17-8075-7_R2C5_plot20,2019-07-01,4,2019-10-04,2019-10-24,0,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(162843C2/132561),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R4C10,Entukura,2,SH3217,17-SH3217_R14C9_plot204,2019-07-02,1,2019-09-26,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>,NA,NA
Sendusu,SE201907_(162865C1/132329),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R31C15,Nakasabira,1,7197-2,17-7197-2_R12C10_plot175,2019-07-11,3,2019-10-17,2019-10-31,26,20,2019-11-06,20,9,2019-11-27,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201907_(162876C1/132643),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R29C11,ITC1355-Kazirakwe,1,9128-3,17-9128-3_R4C5_plot50,2019-07-05,NA,2019-10-17,2019-10-31,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(162879C2/132462),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R8C16,IITA-Nakyetengu,2,SH3217,17-SH3217_R13C8_plot188,2019-07-27,2,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(162912C1/132425),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R9C15,IITA-Nakyetengu,1,9128-3,17-9128-3_R5C1_plot61,2019-07-11,3,2019-10-17,2019-11-07,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(162928C2/132568),3X pollination block New Phase 1-Sendusu,Tereza_14_Phase1_R16C2,Tereza,2,SH3217,17-SH3217_R13C6_plot186,2019-07-24,5,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(162957C2/132706),3X pollination block New Phase 2-Sendusu,Enzirabahima_14_Phase2_R25C1,ITC1354-Enzirabahima,2,8075-7,17-8075-7_R1C4_plot4,2019-07-12,4,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(162972C1/132672),3X pollination block New Phase 2-Sendusu,Kazirakwe_14_Phase2_R30C3,ITC1355-Kazirakwe,1,8075-7,17-8075-7_R3C10_plot40,2019-07-22,2,2019-10-31,2019-11-15,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(163029C1/132590),3X pollination block New Phase 2-Sendusu,Enzirabahima_14_Phase2_R25C4,ITC1354-Enzirabahima,1,TMB2X5265-1,17-5265-1_R9C1_plot121,2019-07-12,3,2019-10-25,2019-10-31,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(163035C2/132433),3X pollination block New Phase 2-Sendusu,Enzirabahima_14_Phase2_R25C10,ITC1354-Enzirabahima,2,TMB2X5265-1,17-5265-1_R8C8_plot113,2019-07-01,3,2019-10-04,2019-10-10,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(163045C1/132358),3X pollination block New Phase 2-Sendusu,Kazirakwe_14_Phase2_R29C5,ITC1355-Kazirakwe,1,9128-3,17-9128-3_R5C7_plot67,2019-07-26,2,2019-11-06,2019-11-21,3,2,2019-12-04,2,2,2020-01-03,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(163055C1/132419),3X pollination block New Phase 2-Sendusu,Kazirakwe_14_Phase2_R29C3,ITC1355-Kazirakwe,1,7197-2,17-7197-2_R11C12_plot162,2019-07-03,2,2019-09-19,2019-10-24,5,4,2019-10-29,4,1,2019-11-27,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(163081C1/132316),3X pollination block New Phase 2-Sendusu,Enzirabahima_14_Phase2_R26C7,ITC1354-Enzirabahima,1,8075-7,17-8075-7_R2C1_plot16,2019-07-08,2,2019-10-31,2019-11-07,2,2,2019-11-19,2,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201907_(163087C1/132682),3X pollination block New Phase 2-Sendusu,Nakasabira_14_Phase2_R31C4,Nakasabira,1,SH3362,17-SH3362_R19C1_plot271,2019-07-18,1,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201907_(163088C1/132349),3X pollination block New Phase 2-Sendusu,Kabucuragye_14_Phase2_R20C3,Kabucuragye,1,8075-7,17-8075-7_R1C15_plot15,2019-07-24,4,2019-10-31,2019-11-15,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201907_(163122C2/132682),3X pollination block New Phase 2-Sendusu,Kabucuragye_14_Phase2_R19C8,Kabucuragye,2,SH3362,17-SH3362_R19C1_plot271,2019-07-24,5,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201907_(163136C2/132664),3X pollination block New Phase 2-Sendusu,Kabucuragye_14_Phase2_R19C10,Kabucuragye,2,7197-2,17-7197-2_R10C6_plot141,2019-07-26,4,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201907_(163140C2/132653),3X pollination block New Phase 2-Sendusu,Kabucuragye_14_Phase2_R19C2,Kabucuragye,2,9128-3,17-9128-3_R4C9_plot54,2019-07-31,5,2019-11-22,2019-11-28,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201907_(163142C1/132664),3X pollination block New Phase 2-Sendusu,Kazirakwe_14_Phase2_R30C5,ITC1355-Kazirakwe,1,7197-2,17-7197-2_R10C6_plot141,2019-07-24,2,2019-10-21,2019-11-07,6,3,2019-11-19,3,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(163149C1/132425),3X pollination block New Phase 2-Sendusu,Nakasabira_14_Phase2_R33C5,Nakasabira,1,9128-3,17-9128-3_R5C1_plot61,2019-07-27,2,2019-11-15,2019-11-21,1,1,2019-12-04,1,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201907_(163169C1/132396),3X pollination block New Phase 2-Sendusu,Kazirakwe_14_Phase2_R29C6,ITC1355-Kazirakwe,1,TMB2X5265-1,17-5265-1_R7C6_plot96,2019-07-27,1,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201907_(163201C2/132396),3X pollination block New Phase 3-Sendusu,Nakyetengu_16_Phase3_R7C1,IITA-Nakyetengu,2,TMB2X5265-1,17-5265-1_R7C6_plot96,2019-07-30,3,2019-11-06,2019-11-28,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(163215C2/132530),3X pollination block New Phase 3-Sendusu,Tereza_16_Phase3_R18C4,Tereza,2,TMB2X5265-1,17-5265-1_R7C5_plot95,2019-07-20,NA,2019-11-15,2019-11-21,0,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(163249C2/132419),3X pollination block New Phase 3-Sendusu,Tereza_16_Phase3_R18C2,Tereza,2,7197-2,17-7197-2_R11C12_plot162,2019-07-06,1,2019-10-04,2019-10-17,0,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(163270C2/132692),3X pollination block New Phase 3-Sendusu,Entukura_16_Phase3_R6C3,Entukura,2,8075-7,17-8075-7_R1C13_plot13,2019-07-27,1,2019-10-31,2019-11-07,0,48,2019-12-04,48,8,2020-01-03,3X,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>,NA,NA
Sendusu,SE201907_(163277C1/132706),3X pollination block New Phase 3-Sendusu,Nakyetengu_16_Phase3_R8C7,IITA-Nakyetengu,1,8075-7,17-8075-7_R1C4_plot4,2019-07-03,2,2019-10-21,2019-10-31,2,1,2019-11-06,1,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(163387C2/132396),3X pollination block New Phase 3-Sendusu,Nakyetengu_16_Phase3_R8C6,IITA-Nakyetengu,2,TMB2X5265-1,17-5265-1_R7C6_plot96,2019-07-25,3,2019-10-25,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(163394C1/132664),3X pollination block New Phase 3-Sendusu,Nakyetengu_16_Phase3_R7C6,IITA-Nakyetengu,1,7197-2,17-7197-2_R10C6_plot141,2019-07-31,4,2019-10-31,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201907_(163402C2/132590),3X pollination block New Phase 3-Sendusu,Tereza_16_Phase3_R18C1,Tereza,2,TMB2X5265-1,17-5265-1_R9C1_plot121,2019-07-27,3,NA,NA,NA,NA,NA,NA,NA,NA,3X,https://musabase.org/stock/65451/view,NA,NA
Sendusu,SE201907_(163407C2/132361),3X pollination block New Phase 3-Sendusu,Enzirabahima_16_Phase3_R26C4,ITC1354-Enzirabahima,2,7197-2,17-7197-2_R10C4_plot139,2019-07-29,2,2019-11-15,2019-11-21,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201908_(162358C1/132647),2016 New 4x Female parents Sendusu,25974S-17_14_R5P4,25974S-17,1,7197-2,17-7197-2_R12C8_plot173,2019-08-19,6,2020-01-08,2020-01-17,91,51,2020-01-23,51,19,2020-02-10,NA,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>,NA,NA
Sendusu,SE201908_(162365C2/132351),2016 New 4x Female parents Sendusu,29364S-2_14_R11P9,29364S-2,2,10969S-1,17-10969s-1_R23C7_plot337,2019-08-27,3,2019-12-06,2020-01-02,3,3,2020-01-16,3,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,NA,NA
Sendusu,SE201908_(162374C2/132674),2016 New 4x Female parents Sendusu,29275S-1_14_R7P5,29275S-1,2,7197-2,17-7197-2_R11C6_plot156,2019-08-29,1,2020-01-08,2020-01-09,100,68,2020-01-16,68,5,2020-02-03,NA,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>,NA,NA
Sendusu,SE201908_(162410C1/132434),2016 New 4x Female parents Sendusu,29364S-2_14_R10P6,29364S-2,1,7197-2,17-7197-2_R11C2_plot152,2019-08-01,3,2019-11-29,2019-12-12,4,2,2019-12-19,2,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,NA,NA
Sendusu,SE201908_(162414C1/132315),2016 New 4x Female parents Sendusu,29364S-2_14_R10P8,29364S-2,1,10969S-1,17-10969s-1_R23C1_plot331,2019-08-10,5,2019-11-27,2019-12-19,3,1,2020-01-06,1,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,NA,NA
Sendusu,SE201908_(162415C1/132466),2016 New 4x Female parents Sendusu,25974S-17_14_R4P7,25974S-17,1,8075-7,17-8075-7_R1C1_plot1,2019-08-10,4,2020-01-20,2020-01-23,16,11,2020-01-28,11,2,2020-02-24,NA,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>,NA,NA
Sendusu,SE201908_(162430C2/132647),2016 New 4x Female parents Sendusu,29364S-2_14_R11P8,29364S-2,2,7197-2,17-7197-2_R12C8_plot173,2019-08-24,4,2019-12-11,2020-01-02,284,140,2020-01-17,140,1,2020-02-24,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,NA,NA
Sendusu,SE201908_(162431C2/132674),2016 New 4x Female parents Sendusu,29364S-2_14_R12P5,29364S-2,2,7197-2,17-7197-2_R11C6_plot156,2019-08-05,3,2019-12-06,2019-12-19,66,36,2020-01-06,36,3,2020-02-03,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,NA,NA
Sendusu,SE201908_(162458C1/132315),2016 New 4x Female parents Sendusu,29275S-1_14_R7P8,29275S-1,1,10969S-1,17-10969s-1_R23C1_plot331,2019-08-30,3,2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>,NA,NA
Sendusu,SE201908_(162478C2/132315),2016 New 4x Female parents Sendusu,25974S-17_14_R6P3,25974S-17,2,10969S-1,17-10969s-1_R23C1_plot331,2019-08-03,2,2020-01-20,2020-01-23,0,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>,NA,NA
Sendusu,SE201908_(162485C2/132696),2016 New 4x Female parents Sendusu,29364S-2_14_R11P5,29364S-2,2,8075-7,17-8075-7_R1C3_plot3,2019-08-23,5,2019-12-23,2020-01-09,0,60,2020-01-16,60,23,2020-02-03,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,NA,NA
Sendusu,SE201908_(162487C1/132668),2016 New 4x Female parents Sendusu,29275S-1_14_R9P5,29275S-1,1,8075-7,17-8075-7_R2C13_plot28,2019-08-09,1,2019-12-11,2019-12-19,28,20,2020-01-06,20,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>,NA,NA
Sendusu,SE201908_(162492C1/132351),2016 New 4x Female parents Sendusu,25974S-17_14_R6P1,25974S-17,1,10969S-1,17-10969s-1_R23C7_plot337,2019-08-22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>,NA,NA
Sendusu,SE201908_(162506C1/132624),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R9C12,IITA-Nakyetengu,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2019-08-06,3,2019-10-31,2019-11-21,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201908_(162517C2/132425),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R30C8,ITC1355-Kazirakwe,2,9128-3,17-9128-3_R5C1_plot61,2019-08-05,2,2019-11-29,2019-12-06,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201908_(162529C2/132696),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R9C3,IITA-Nakyetengu,2,8075-7,17-8075-7_R1C3_plot3,2019-08-12,4,2019-11-15,2019-12-12,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201908_(162536C1/132696),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R30C14,ITC1355-Kazirakwe,1,8075-7,17-8075-7_R1C3_plot3,2019-08-27,3,2019-12-06,2019-12-12,1,1,2019-12-19,1,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201908_(162541C1/132653),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R7C4,IITA-Nakyetengu,1,9128-3,17-9128-3_R4C9_plot54,2019-08-07,4,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201908_(162541C2/132684),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R7C4,IITA-Nakyetengu,2,7197-2,17-7197-2_R11C5_plot155,2019-08-22,1,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201908_(162545C1/132406),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R33C17,Nakasabira,1,8075-7,17-8075-7_R3C7_plot37,2019-08-30,NA,2019-12-16,2019-12-19,1,0,2020-01-06,0,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201908_(162548C2/132674),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R32C13,Nakasabira,2,7197-2,17-7197-2_R11C6_plot156,2019-08-03,2,2019-11-06,2019-11-15,5,4,2019-11-19,4,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65456/view>view</a>,NA,NA
Sendusu,SE201908_(162549C1/132358),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R9C11,IITA-Nakyetengu,1,9128-3,17-9128-3_R5C7_plot67,2019-08-27,3,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201908_(162553C1/132547),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R27C5,ITC1354-Enzirabahima,1,7197-2,17-7197-2_R11C7_plot157,2019-08-06,2,2019-11-06,2019-11-28,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201908_(162555C2/132425),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R7C13,IITA-Nakyetengu,2,9128-3,17-9128-3_R5C1_plot61,2019-08-10,5,2019-11-15,2019-11-21,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,NA,NA
Sendusu,SE201908_(162556C1/132433),3X pollination block New Phase 1-Sendusu,Kabucuragye_14_Phase1_R20C7,Kabucuragye,1,TMB2X5265-1,17-5265-1_R8C8_plot113,2019-08-16,5,2019-11-27,2019-12-12,2,0,2019-12-19,0,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201908_(162566C2/132584),3X pollination block New Phase 1-Sendusu,Kabucuragye_14_Phase1_R20C2,Kabucuragye,2,SH3217,17-SH3217_R13C7_plot187,2019-08-29,1,NA,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65452/view>view</a>,NA,NA
Sendusu,SE201908_(162574C1/132668),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R4C14,Entukura,1,8075-7,17-8075-7_R2C13_plot28,2019-08-10,3,2019-11-15,2019-11-28,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>,NA,NA
Sendusu,SE201908_(162589C2/132541),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R27C8,ITC1354-Enzirabahima,2,9128-3,17-9128-3_R6C3_plot78,2019-08-23,3,2019-12-11,2020-01-02,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
Sendusu,SE201908_(162594C1/132578),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R30C4,ITC1355-Kazirakwe,1,9128-3,17-9128-3_R5C9_plot69,2019-08-22,3,2019-11-22,2019-12-06,6,4,2019-12-18,2,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201908_(162604C1/132541),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R28C11,ITC1355-Kazirakwe,1,9128-3,17-9128-3_R6C3_plot78,2019-08-24,2,2019-12-06,2019-12-12,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,NA,NA
Sendusu,SE201908_(162606C1/132502),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R6C7,Entukura,1,8075-7,17-8075-7_R1C6_plot6,2019-08-24,2,2019-12-11,NA,NA,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/65447/view>view</a>,NA,NA
Sendusu,SE201908_(162627C2/132433),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R26C11,ITC1354-Enzirabahima,2,TMB2X5265-1,17-5265-1_R8C8_plot113,2019-08-09,5,2019-11-22,2019-11-28,0,NA,NA,NA,NA,NA,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,NA,NA
