FemaleGenotype,MaleGenotype,Female_Ploidy,Male_Ploidy,Female_Link,Male_Link
Enzirabahima,Enzirabahima,3X,3X,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180177/view>view</a>
NAKYETENGU,NAKYETENGU,3X,3X,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65448/view>view</a>
660K_1,660K_1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65472/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65472/view>view</a>
401K_1,401K_1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65473/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65473/view>view</a>
917K_2,917K_2,4X,4X,<a  target=_blank href=https://musabase.org/stock/65469/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65469/view>view</a>
365K_1,365K_1,4X,4X,<a  target=_blank href=https://musabase.org/stock/65476/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65476/view>view</a>
20275S-1,20275S-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65838/view>view</a>
29364S_2,29364S_2,NA,NA,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65842/view>view</a>
Kazirakwe,Kazirakwe,3x,3x,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>
Kazirakwe,Kazirakwe,3X,3X,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180178/view>view</a>
25974S_17,25974S_17,NA,NA,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65664/view>view</a>
29275S_4,29275S_4,NA,NA,<a  target=_blank href=https://musabase.org/stock/65839/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65839/view>view</a>
02145-1320,02145-1320,2X,2X,<a  target=_blank href=https://musabase.org/stock/65419/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65419/view>view</a>
ITC0609,ITC0609,2X,2X,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
ITC0609,ITC0609,2x,2x,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123370/view>view</a>
Guyod,Guyod,2x,2x,<a  target=_blank href=https://musabase.org/stock/65874/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65874/view>view</a>
Kisukari-Mchare,Kisukari-Mchare,NA,NA,<a  target=_blank href=https://musabase.org/stock/65048/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65048/view>view</a>
Nakitengwa,Nakitengwa,3x,3x,<a  target=_blank href=https://musabase.org/stock/179837/view>view</a>,<a  target=_blank href=https://musabase.org/stock/179837/view>view</a>
Mlali,Mlali,3x,3x,<a  target=_blank href=https://musabase.org/stock/180204/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180204/view>view</a>
Datil,Datil,2x,2x,<a  target=_blank href=https://musabase.org/stock/180155/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180155/view>view</a>
AAcv Rose,AAcv Rose,2X,2X,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180213/view>view</a>
Yenai,Yenai,2x,2x,<a  target=_blank href=https://musabase.org/stock/180039/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180039/view>view</a>
TMB2x9128-3,TMB2x9128-3,2X,2X,<a  target=_blank href=https://musabase.org/stock/65933/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65933/view>view</a>
Nshonowa,Nshonowa,2x,2x,<a  target=_blank href=https://musabase.org/stock/180196/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180196/view>view</a>
Tjau Lagada,Tjau Lagada,2x,2x,<a  target=_blank href=https://musabase.org/stock/179838/view>view</a>,<a  target=_blank href=https://musabase.org/stock/179838/view>view</a>
ITC0943,ITC0943,2x,2x,<a  target=_blank href=https://musabase.org/stock/123369/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123369/view>view</a>
Akondro Mainty,Akondro Mainty,2x,2x,<a  target=_blank href=https://musabase.org/stock/163411/view>view</a>,<a  target=_blank href=https://musabase.org/stock/163411/view>view</a>
Huti green bell,Huti green bell,2x,2x,<a  target=_blank href=https://musabase.org/stock/163415/view>view</a>,<a  target=_blank href=https://musabase.org/stock/163415/view>view</a>
Borneo,Borneo,2x,2x,<a  target=_blank href=https://musabase.org/stock/123372/view>view</a>,<a  target=_blank href=https://musabase.org/stock/123372/view>view</a>
SH-3362,SH-3362,2X,2X,<a  target=_blank href=https://musabase.org/stock/65194/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65194/view>view</a>
8075_7,8075_7,NA,NA,<a  target=_blank href=https://musabase.org/stock/65191/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65191/view>view</a>
